nl_query,explanation,db
"Identify the top 10 employees with the highest sales revenue in multiple regions, involving employees older than 35 years with more than 5 years of service, in the past year.","     Joins between employees, sales, regions, and time-based filtering ensure efficiency through indexed queries.",rdbms
Retrieve top 15 manufacturers who have produced vehicles with an average fuel efficiency above 30 mpg in the SUVs and trucks categories over the last 5 years.,"     Vehicle data, manufacturer details, categories, and temporal data are efficiently handled with structured joins and aggregations.",rdbms
"List the top 25 U.S. cities with the highest average household income growth, for households with more than four members, over the past decade.","     Complex aggregations and joins on household data, cities, and income statistics can be managed well using pre-defined relationships.",rdbms
"Determine the top 10 universities with the highest number of graduates who have founded successful startups, where success is defined as raising more than $1 million in funding in the technology sector, over the last 15 years.","     Involves multiple joins between graduate records, startup data, funding details, and sector-based filtering.",rdbms
"Extract the top 20 doctors who have participated in at least five clinical trials with success rates over 80% in cancer research, in the last decade.","     Requires detailed join operations across doctor profiles, clinical trials data, and success metrics.",rdbms
Find 30 most popular films (rating over 8.0) from directors who have directed movies in both action and drama genres in multiple countries in the past 7 years.,"     The query needs complex joins and filtering involving films, directors, genres, and geographical data.",rdbms
Rank the top 15 financial advisors by clients' investment returns above 10% with portfolios over $1 million diversified across real estate and technology sectors in the last 3 years.,"     Efficient handling of client, investment, sectoral and financial data through structured queries.",rdbms
"Identify the top 5 cities where restaurant sales have grown the most among venues offering both dine-in and takeout services, over the past 5 years.",     Involves detailed aggregation and joining sales data with geographical and service type information.,rdbms
"List the 10 countries with the fastest-growing renewable energy production averaged across solar, wind, and hydroelectric sources, over the past decade.",     Relational databases can efficiently handle and aggregate complex datasets on energy production subdivided by type.,rdbms
Retrieve the top 10 fashion brands by annual sales in the luxury segment across at least three continents over the last two decades.,"      Requires joining sales records, brand data, segmentation information, and global categorization.",rdbms
"Determine the top 25 pharmaceutical companies based on product approvals from FDA and EMA, for cardiovascular drugs, over the last 15 years.",      Involves database joins and filters across company data and detailed product approval records across two regulatory agencies.,rdbms
