nl_query,explanation,db
"Identify the top 10 universities producing alumni who have founded successful tech startups, as measured by revenue growth and funding over the last 10 years.","    Relational databases excel in joining complex datasets such as alumni records, startup success metrics, and financial data.*",rdbms
List employees with more than five years of experience who have completed at least three industry certifications relevant to their department within the last year.,"    This involves joining employee records with certification data, which is efficiently handled by relational databases.*",rdbms
Find the top 20 products that consistently have at least a 95% customer satisfaction rating across multiple review platforms over the past three years.,    Requires aggregating and comparing large datasets across multiple dimensions.*,rdbms
Rank the top 50 most profitable companies in healthcare by their year-over-year growth and innovation award counts over the past decade.,    Structured data involving financial metrics and awards are well-suited for relational databases.*,rdbms
"Determine the top 15 cities for career advancement opportunities, measured by job growth rate, average salary increases, and cost of living adjustments over the past 5 years.",    Needs comprehensive analysis of employment and economic data.*,rdbms
Identify the top 5 suppliers for a retail chain that maintained a delivery accuracy rate above 98% while meeting sustainability criteria in the last three years.,"    Suitable for relational databases, given supply chain and vendor performance data interactions.*",rdbms
"List the top 25 actors who have starred in the highest-grossing films for each genre over the past 20 years, adjusted for inflation.","    Involves an intricate intersection of data from movie revenue, genres, and actor participation.*",rdbms
"Find authors with at least five bestsellers in both fiction and non-fiction categories, who have also received significant literary awards over the past decade.","    Relational databases efficiently handle complex joins of book sales, categories, and awards.*",rdbms
Identify top 30 restaurants in each major city with consistent Michelin star ratings and a food hygiene score above 90% for the last five years.,    Complexity arises from merging inspection scores with culinary ratings.*,rdbms
"Determine the top 50 global cities for tech startups, measured by funding received, startup density, and mentorship networks over the past decade.","     Combines economic, social, and business metrics across temporal data.*",rdbms
Rank fashion brands that have consistently led sustainability ratings and had top sales performance across multiple regions globally over the past 20 years.,     Involves analyzing cross-regional sales and sustainability scores.*,rdbms
Identify sports teams with the highest win rates and fan attendance consistency over the past 10 seasons across major leagues.,     Merges data on performance metrics and fan engagement.*,rdbms
List top real estate markets by growth rate and investment returns over the last decade across different property types.,     Blend of financial returns and categorical property data.*,rdbms
Find the top healthcare providers based on successful treatment outcomes and patient reviews in selected regions in the past 5 years.,     Joins data on medical outcomes and patient feedback efficiently.*,rdbms
"Identify musicians with the most chart-topping singles across multiple countries, who have also won major international music awards over the past decade.",     Requires linking chart performance to international awards efficiently.*,rdbms
"Rank universities based on successful patents filed and commercialized, along with the number of research grants awarded over the last 15 years.","     Relies on structured data involving patents, research grants, and institutional outcomes.*",rdbms
List the top 10 airlines by on-time performance and customer service ratings for international flights over the past eight years.,"     Involves complex, structured relationships between performance data points.*",rdbms
"Rank tourism destinations by visitor growth and satisfaction scores over the past 10 years, segmented by travel purpose and demographic.",     Combines demographic segmentation with tourism statistics.*,rdbms
Identify the top 15 cities leading renewable energy adoption and carbon footprint reduction initiatives over the past decade.,     Merges environmental metrics across temporal segments.*,rdbms
"Determine logistics companies with the most efficient delivery systems, based on delivery times, costs, and customer satisfaction ratings over five years.","     Involves a complex blend of performance, financial implications, and customer feedback.*",rdbms
Find the top hospitals by patient recovery rates and community health improvement initiatives in urban areas over the past 10 years.,     Structured links between performance outcomes and community impact are effectively handled._,rdbms
List the top global wine producers by production volume and international awards won over the past 10 years.,     Relational databases excel at merging production and award datasets._,rdbms
Identify luxury brands with a consistent record of global sales growth and innovation in product designs over the past decade.,     Involves merging complex market data and product innovation records.*,rdbms
Rank the top software companies by open-source contributions and user base growth in the past 5 years.,     Combines community engagement data with user base metrics._,rdbms
"List the top cities for new business formations, measured by the number of startups and business survival rates over the past decade.",     Structured relationship between business formation and tenure data is easily managed by relational databases._,rdbms
Identify top tourist hotspots maintaining ecological balance and visitor satisfaction simultaneously over the past decade.,     Involves blending ecological metrics with visitor feedback._,rdbms
Rank international hotel chains by customer service ratings and occupancy rates for each region over the past five years.,     Complexity arises from integrating regional occupancy with global ratings data._,rdbms
Find the top pharmaceutical companies by research output and success rates of new drug approvals over the past 15 years.,     Requires sophisticated joins between research and regulatory data spread over years._,rdbms
Identify advertising firms consistently winning major industry awards and maintaining top client satisfaction scores globally over the past decade.,     Merges award-winning trends with client satisfaction metrics._,rdbms
List the top automobile brands by innovation in electric vehicles and consumer adoption rates over the past five years.,     Combines innovation records with sales data in the rapidly evolving EV market._,rdbms
Find the top construction companies with sustainable building certifications and large-scale projects completed over the past five years.,     Structured merge of sustainability qualifications and project completion data.*,rdbms
Rank universities by diversity in student body and success in international academic competitions over the past decade.,     Combines educational institution metrics with international competition outcomes.*,rdbms
Identify social media platforms with the fastest user growth and highest engagement levels across different continents over the last five years.,     Structured datasets involving user demographics and engagement statistics are ideal for relational databases.*,rdbms
Find top marine research institutes based on published research and successful conservation projects over the past decade.,     Merges research output with conservation project success data.*,rdbms
List the top financial institutions by customer asset growth and innovation in digital banking services over the past five years.,     Blend of financial growth indicators and technological adoptions._,rdbms
Identify the top global cities implementing smart city technologies with noticeable improvement in urban living over the past decade.,     Detailed intersection of city implementation data with urban living metrics.*,rdbms
Rank private schools by alumni college admission rates and innovative curricula over the past decade.,     Complex interaction between alumni outcomes and educational offerings._,rdbms
Find the top e-commerce platforms by transaction volume and customer retention rates across four major regions over the past five years.,     Combines complex sales data with customer level analytics effectively.*,rdbms
Identify political leaders who have successfully implemented major economic reforms and improved key economic indicators over the last 15 years.,     Structured linkage between political activities and economic outcomes.*,rdbms
List environmental NGOs with the largest impact in conservation efforts and community engagement metrics over the past decade.,     Involves complex joins of impact assessment with engagement statistics.*,rdbms
