nl_query,explanation,db
Find all individuals within three degrees of connection to a given CEO in a professional network and identify their industries.,"     Graph databases excel in traversing relationships efficiently, which is key in finding degrees of connection.",graph
Identify all employees in an organization who have communicated via direct emails with the CEO more than ten times in the past year.,"     This involves complex traversing of email nodes/edges, which is handled more efficiently by graph databases.",graph
Determine the shortest friendship path between two people in a social network.,"     Graph databases like Neo4j use algorithms specifically designed for shortest path queries, which are cumbersome in relational databases.",graph
Find all co-authors of a given scientist within the field of biology and their most frequently discussed research topics.,     Graph databases efficiently manage dynamic connections and can quickly traverse co-author relationships.,graph
"Identify all products bought together with a specific item in transactions under $20, across different stores in a retail network.",     The complex traversal of transactions and product relationships fits graph database strengths.,graph
Find all cities that can be reached by traveling through less than four train connections and list those with significant yearly growth in tourism.,"     Graphs handle connections and path queries efficiently, especially with added constraints on growth metrics.",graph
Discover influencers followed by at least 50% of the direct followers of a given celebrity and compare their follower growth over a year.,     Graph traversal and neighborhood operations are optimized in graph models.,graph
Locate all devices on a network within a three-hop radius of a compromised device and flag any showing anomalous behavior over the last month.,     Graphs perform well with network topologies and anomaly detection due to efficient relationship traversal.,graph
Identify all corporate subsidiaries with direct connections to a parent company and have shown profit growth for the last three consecutive quarters.,     Exploring hierarchical structures and profitability trends benefits from graph traversal capabilities.,graph
Determine all parts within a supply chain linked through fewer than five intermediaries to a defective component and track their shipment delays.,"      Graphs handle interconnected supply chain entities better, especially under constraints like delays.",graph
List all authors contributing to more than ten journal articles in the field of AI and describe their collaboration networks for the past decade.,      Graphs can efficiently manage dynamic author collaboration patterns over time.,graph
Find all patients linked by two or fewer degrees to a specific rare disease and analyze trends in their symptom reporting.,      Graph databases facilitate healthcare-related queries involving patient connections and symptom trends.,graph
Identify all servers impacted within a certain threshold of hops from an initially compromised server and check bandwidth usage before the attack.,"      Graphs efficiently model and traverse network server connections, optimizing security assessments.",graph
Retrieve all blog posts with cross-posting fewer than three steps away from a given influencer's primary blog.,      Graphs make it easier to explore cross-posting relationships in content networks.,graph
"List all investors indirectly linked through fewer than four investment relationships to a major venture capitalist, noting their investment focus areas.",      Investment relationships often form complex networks perfectly suited for graph databases.,graph
Examine the mutual fund portfolios that can be connected to an asset manager through two or fewer fund manager connections with cross-holdings of over 10%.,"      Graphs manage asset and portfolio connections dynamically, optimizing for queries on cross-holdings.",graph
Identify clusters of scientific papers connected through citations involving a newly identified research area within the past year.,"      Citation networks are well-represented with graph databases, allowing efficient clustering analysis.",graph
Find all applications directly or indirectly related to a decommissioned software module and identify users who experienced service disruption.,      Graphs facilitate tracing application dependencies and user impact with ease.,graph
Track the impact through direct and indirect supplier connections of a sudden raw material price hike on a final product line.,      The interconnected nature of supplier networks is well-modeled by graph databases.,graph
Determine all social network users who interacted with a viral post within four connection degrees and analyze the time to engagement.,      Graphs provide efficient traversal and time-based engagement analysis.,graph
Map the organizations that can be connected through fewer than three partnership agreements to a groundbreaking tech company and their market cap growth over the year.,      Partnership networks leverage graph strengths in analyzing growth over time.,graph
Discover educational institutions with alums working at Fortune 500 companies within a three-connection radius of a prominent university's alumni network.,      Rich alumni networks with complex queries are ideal for graph databases.,graph
Identify proteins that interact directly or through intermediate proteins with a specific molecule involved in disease pathways and recent discovery of related signaling pathways.,"      Biological interaction networks fit the traversal power of graph databases, particularly with newly discovered pathways.",graph
List authors who have been co-referenced in fewer than five research articles with a Nobel laureate and their citation ratios.,      Graph databases optimize co-reference exploration with citation analytics.,graph
"Identify all books sharing thematic connotations fewer than three connections away from a Pulitzer Prize-winning novel, noting publication frequency.",      Graph databases efficiently handle concept linkages in literary networks.,graph
Trace the impact of a regulatory change on companies within two degrees of an affected sector and explore stock volatility over the past six months.,      Regulatory impact paths are complex and suited for graph-based exploration.,graph
"Examine all devices possibly interacting with a high-profile application's server through less than five infrastructure connections, analyzing latency spikes.",      Graphs provide real-time interaction tracing with performance metrics.,graph
Identify financial fraud rings linked by fewer than three intermediate transactions and detail unusual activity patterns over the last two quarters.,      Financial transaction networks with complex fraud detection use graph databases intelligently.,graph
"Catalog startup companies receiving investment from VCs that have fewer than three mutual investment links to a Fortune 500 company, and monitor their growth in Series A funding over a year.",      Investment networks are more efficiently traversed and analyzed in graph databases.,graph
"Determine academic collaborations that can be formed among entities connected through fewer than four committee memberships, assessing recent publication outputs.",      Graph databases facilitate detailed exploration of academic network potentials.,graph
"Discover all event organizers directly or indirectly linked through fewer than three affiliations with a major entertainment conglomerate, with a focus on event growth trends.",      Entertainment affiliation networks benefit from graph modeling.,graph
Identify all ecosystems services impacted by fewer than three policy changes linked to a central government agency and evaluate biodiversity impact shifts over a decade.,      Environmental traceability through policy networks highlights graph database strength.,graph
Find all projects that can be traced through two or fewer funding channels to a major philanthropic organization and explore trends in their societal impact metrics.,      Graph traversal efficiently manages complex funding trails and related impact assessments.,graph
